schema_name,table_name,status,source_rows,loaded_rows,load_method,duration_seconds
careflow_dim,dim_patient,skipped,58,58,skipped,0.002739
careflow_dim,dim_provider,skipped,161,161,skipped,0.000555
careflow_dim,dim_organization,skipped,161,161,skipped,0.000496
careflow_dim,dim_payer,skipped,10,10,skipped,0.000552
careflow_dim,dim_date,skipped,30270,30270,skipped,0.000638
careflow_dim,dim_condition,skipped,160,160,skipped,0.001143
careflow_dim,dim_procedure,skipped,195,195,skipped,0.000724
careflow_dim,dim_medication,skipped,106,106,skipped,0.001674
careflow_fact,fact_encounter,skipped,3180,3180,skipped,0.000543
careflow_fact,fact_condition,skipped,1725,1725,skipped,0.000434
careflow_fact,fact_procedure,skipped,7601,7601,skipped,0.000397
careflow_fact,fact_medication,skipped,2104,2104,skipped,0.000408
careflow_fact,fact_observation,skipped,28089,28089,skipped,0.000392
careflow_fact,fact_claim,skipped,5287,5287,skipped,0.000354
careflow_fact,fact_immunization,skipped,845,845,skipped,0.000401
careflow_fact,fact_imaging_study,skipped,258,258,skipped,0.000423
careflow_mart,mart_patient_360,skipped,58,58,skipped,0.000366
careflow_mart,mart_readmission,skipped,207,207,skipped,0.000332
careflow_mart,mart_hospital_operations,skipped,3094,3094,skipped,0.00037
careflow_mart,mart_financial_performance,skipped,2192,2192,skipped,0.000341
careflow_mart,mart_provider_utilization,skipped,2149,2149,skipped,0.00037
careflow_mart,mart_monthly_kpis,skipped,441,441,skipped,0.000369
