organization_key,organization_name,encounter_date_key,encounter_date,encounter_class,encounter_count,unique_patients,average_duration_minutes,median_duration_minutes,inpatient_count,emergency_count,total_claim_cost,payer_coverage,patient_responsibility,provider_count
164982158369714689,A&A HEALTHCARE LLC,19430915,1943-09-15,wellness,2,2,52.3,52.3,0,0,1999.20,1899.20,100.00,1
496794533100234578,WELLNESS ON WHEELS PC,19430929,1943-09-29,wellness,1,1,41.03333333333333,41.03333333333333,0,0,1329.55,1179.55,150.00,1
622746900524004548,WHITTIER REHABILTATION HOSPITAL,19471226,1947-12-26,ambulatory,1,1,15.0,15.0,0,0,85.55,0.00,85.55,1
622746900524004548,WHITTIER REHABILTATION HOSPITAL,19480109,1948-01-09,ambulatory,1,1,15.0,15.0,0,0,85.55,0.00,85.55,1
622746900524004548,WHITTIER REHABILTATION HOSPITAL,19500116,1950-01-16,ambulatory,1,1,15.0,15.0,0,0,85.55,0.00,85.55,1
679818074188163933,ARBOUR-FULLER HOSPITAL,19510519,1951-05-19,inpatient,1,1,1440.0,1440.0,1,0,3817.64,3767.64,50.00,1
742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,19520819,1952-08-19,ambulatory,1,1,15.0,15.0,0,0,3611.37,3561.37,50.00,1
742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,19531007,1953-10-07,ambulatory,1,1,72.95,72.95,0,0,942.01,892.01,50.00,1
332886644979055046,MILFORD REGIONAL MEDICAL CENTER,19600125,1960-01-25,ambulatory,1,1,15.0,15.0,0,0,1005.38,955.38,50.00,1
93679773638781409,TUFTS MEDICAL CENTER,19600309,1960-03-09,ambulatory,1,1,15.0,15.0,0,0,85.55,0.00,85.55,1
93679773638781409,TUFTS MEDICAL CENTER,19600324,1960-03-24,ambulatory,1,1,15.0,15.0,0,0,85.55,0.00,85.55,1
887471881291579676,WOODLAND INTERNISTS  P.C.,19600908,1960-09-08,wellness,1,1,22.183333333333334,22.183333333333334,0,0,704.20,0.00,704.20,1
742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,19610612,1961-06-12,inpatient,1,1,1440.0,1440.0,1,0,3817.64,3767.64,50.00,1
887471881291579676,WOODLAND INTERNISTS  P.C.,19610914,1961-09-14,wellness,1,1,44.0,44.0,0,0,704.20,0.00,704.20,1
164982158369714689,A&A HEALTHCARE LLC,19621010,1962-10-10,wellness,1,1,43.3,43.3,0,0,778.78,628.78,150.00,1
1100386330438199965,WALTHAM WESTON INTERNAL MEDICINE ASSOCIATES  P.C.,19630125,1963-01-25,wellness,1,1,32.0,32.0,0,0,704.20,0.00,704.20,1
441536440845856287,WELLESLEY FAMILY CARE ASSOCIATES  PC,19630125,1963-01-25,wellness,1,1,52.95,52.95,0,0,704.20,0.00,704.20,1
